date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
2020-02-25,202009,46289333.0,45919049.0,False,False,1,0.00216,2020-02-25,0.0,0,1,state,SP,1,0
2020-02-26,202009,46289333.0,45919049.0,False,False,1,0.00216,2020-02-26,0.0,0,2,state,SP,0,0
2020-02-27,202009,46289333.0,45919049.0,False,False,1,0.00216,2020-02-27,0.0,0,3,state,SP,0,0
2020-02-28,202009,46289333.0,45919049.0,False,False,2,0.00432,2020-02-28,0.0,0,4,state,SP,1,0
2020-02-29,202009,46289333.0,45919049.0,False,False,2,0.00432,2020-02-29,0.0,0,5,state,SP,0,0
2020-03-01,202010,46289333.0,45919049.0,False,False,2,0.00432,2020-03-01,0.0,0,6,state,SP,0,0
2020-03-02,202010,46289333.0,45919049.0,False,False,2,0.00432,2020-03-02,0.0,0,7,state,SP,0,0
2020-03-03,202010,46289333.0,45919049.0,False,False,2,0.00432,2020-03-03,0.0,0,8,state,SP,0,0
2020-03-04,202010,46289333.0,45919049.0,False,False,3,0.00648,2020-03-04,0.0,0,9,state,SP,1,0
2020-03-05,202010,4064052.0,4018650.0,False,False,1,0.02461,2020-03-05,0.0,0,1,state,ES,1,0
2020-03-05,202010,17366189.0,17264943.0,False,False,1,0.00576,2020-03-05,0.0,0,1,state,RJ,1,0
2020-03-05,202010,46289333.0,45919049.0,False,False,6,0.01296,2020-03-05,0.0,0,10,state,SP,3,0
2020-03-06,202010,14930634.0,14873064.0,False,False,1,0.0067,2020-03-06,0.0,0,1,state,BA,1,0
2020-03-06,202010,4064052.0,4018650.0,False,False,1,0.02461,2020-03-06,0.0,0,2,state,ES,0,0
2020-03-06,202010,17366189.0,17264943.0,False,False,2,0.01152,2020-03-06,0.0,0,2,state,RJ,1,0
2020-03-06,202010,46289333.0,45919049.0,False,False,10,0.0216,2020-03-06,0.0,0,11,state,SP,4,0
2020-03-07,202010,14930634.0,14873064.0,False,False,2,0.0134,2020-03-07,0.0,0,2,state,BA,1,0
2020-03-07,202010,3055149.0,3015268.0,False,False,1,0.03273,2020-03-07,0.0,0,1,state,DF,1,0
2020-03-07,202010,4064052.0,4018650.0,False,False,1,0.02461,2020-03-07,0.0,0,3,state,ES,0,0
